well,sample,wave_length,f_signal_endpoint,experiment,plate
A08,Sample X8,WL535,26707,exp190909,2
A09,Sample X9,WL493,30764,exp190909,2
A09,Sample X9,WL535,26381,exp190909,2
A10,Sample X10,WL493,34364,exp190909,2
A10,Sample X10,WL535,27272,exp190909,2
A11,Sample X11,WL493,29994,exp190909,2
A11,Sample X11,WL535,26253,exp190909,2
A12,Sample X12,WL493,31902,exp190909,2
A12,Sample X12,WL535,26886,exp190909,2
B01,Sample X13,WL493,31480,exp190909,2
B01,Sample X13,WL535,26485,exp190909,2
B02,Sample X14,WL493,28233,exp190909,2
B02,Sample X14,WL535,25537,exp190909,2
B03,Sample X15,WL493,27740,exp190909,2
B03,Sample X15,WL535,25256,exp190909,2
B04,Sample X16,WL493,29358,exp190909,2
B04,Sample X16,WL535,25465,exp190909,2
B05,Sample X17,WL493,36783,exp190909,2
B05,Sample X17,WL535,27093,exp190909,2
B06,Sample X18,WL493,29073,exp190909,2
B06,Sample X18,WL535,25472,exp190909,2
B07,Sample X19,WL493,29508,exp190909,2
B07,Sample X19,WL535,25449,exp190909,2
B08,Sample X20,WL493,29507,exp190909,2
B08,Sample X20,WL535,25537,exp190909,2
B09,Sample X21,WL493,27844,exp190909,2
B09,Sample X21,WL535,25307,exp190909,2
B10,Sample X22,WL493,28975,exp190909,2
B10,Sample X22,WL535,25603,exp190909,2
B11,Sample X23,WL493,30277,exp190909,2
B11,Sample X23,WL535,25643,exp190909,2
B12,Sample X24,WL493,29573,exp190909,2
B12,Sample X24,WL535,26042,exp190909,2
C01,Sample X25,WL493,27117,exp190909,2
C01,Sample X25,WL535,25005,exp190909,2
C02,Sample X26,WL493,25815,exp190909,2
C02,Sample X26,WL535,24980,exp190909,2
C03,Sample X27,WL493,27849,exp190909,2
C03,Sample X27,WL535,25246,exp190909,2
C04,Sample X28,WL493,27186,exp190909,2
C04,Sample X28,WL535,24693,exp190909,2
C05,Sample X29,WL493,27695,exp190909,2
C05,Sample X29,WL535,25145,exp190909,2
C06,Sample X30,WL493,30107,exp190909,2
C06,Sample X30,WL535,25421,exp190909,2
C07,Sample X31,WL493,29482,exp190909,2
C07,Sample X31,WL535,25305,exp190909,2
C08,Sample X32,WL493,29582,exp190909,2
C08,Sample X32,WL535,25267,exp190909,2
C09,Sample X33,WL493,30363,exp190909,2
C09,Sample X33,WL535,25335,exp190909,2
C10,Sample X34,WL493,27861,exp190909,2
C10,Sample X34,WL535,25258,exp190909,2
C11,Sample X35,WL493,30243,exp190909,2
C11,Sample X35,WL535,25904,exp190909,2
C12,Sample X36,WL493,32517,exp190909,2
C12,Sample X36,WL535,26865,exp190909,2
D01,Sample X37,WL493,29110,exp190909,2
D01,Sample X37,WL535,25302,exp190909,2
D02,Sample X38,WL493,26989,exp190909,2
D02,Sample X38,WL535,24819,exp190909,2
D03,Sample X39,WL493,28329,exp190909,2
D03,Sample X39,WL535,25006,exp190909,2
D04,Sample X40,WL493,27377,exp190909,2
D04,Sample X40,WL535,24731,exp190909,2
D05,Sample X41,WL493,27101,exp190909,2
D05,Sample X41,WL535,24487,exp190909,2
D06,Sample X42,WL493,26861,exp190909,2
D06,Sample X42,WL535,24569,exp190909,2
D07,Sample X43,WL493,30582,exp190909,2
D07,Sample X43,WL535,25372,exp190909,2
D08,Sample X44,WL493,26514,exp190909,2
D08,Sample X44,WL535,24995,exp190909,2
D09,Sample X45,WL493,29205,exp190909,2
D09,Sample X45,WL535,25382,exp190909,2
D10,Sample X46,WL493,28686,exp190909,2
D10,Sample X46,WL535,25299,exp190909,2
D11,Sample X47,WL493,29690,exp190909,2
D11,Sample X47,WL535,25523,exp190909,2
D12,Sample X48,WL493,30551,exp190909,2
D12,Sample X48,WL535,26468,exp190909,2
E01,Sample X49,WL493,28653,exp190909,2
E01,Sample X49,WL535,25456,exp190909,2
E02,Sample X50,WL493,28649,exp190909,2
E02,Sample X50,WL535,25111,exp190909,2
E03,Sample X51,WL493,27992,exp190909,2
E03,Sample X51,WL535,24515,exp190909,2
E04,Sample X52,WL493,26324,exp190909,2
E04,Sample X52,WL535,25014,exp190909,2
E05,Sample X53,WL493,27254,exp190909,2
E05,Sample X53,WL535,24378,exp190909,2
E06,Sample X54,WL493,30273,exp190909,2
E06,Sample X54,WL535,25262,exp190909,2
E07,Sample X55,WL493,28074,exp190909,2
E07,Sample X55,WL535,25351,exp190909,2
E08,Sample X56,WL493,29342,exp190909,2
E08,Sample X56,WL535,25217,exp190909,2
E09,Sample X57,WL493,29256,exp190909,2
E09,Sample X57,WL535,25081,exp190909,2
E10,Sample X58,WL493,27248,exp190909,2
E10,Sample X58,WL535,24807,exp190909,2
E11,Sample X59,WL493,30316,exp190909,2
E11,Sample X59,WL535,26013,exp190909,2
E12,Sample X60,WL493,31683,exp190909,2
E12,Sample X60,WL535,27257,exp190909,2
F01,Sample X61,WL493,34086,exp190909,2
F01,Sample X61,WL535,26827,exp190909,2
F02,Sample X62,WL493,28216,exp190909,2
F02,Sample X62,WL535,24825,exp190909,2
F03,Sample X63,WL493,27014,exp190909,2
F03,Sample X63,WL535,24683,exp190909,2
