well,sample.x,wave_length,time,f_signal,timepoint,well_row,well_col,sample.y,f_signal_endpoint_493,f_signal_endpoint_535,total_cell_death,zero_cell_death,pct_death,sample_id,replicate,plate_number,exp
A01,Sample X1,WL535,1080,25206,1080,A,01,Sample X1,29977,26804,33260,21304,0.32636333221813313,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1242,25509,1242,A,01,Sample X1,29977,26804,33260,21304,0.351706256273001,BPH2750,2,2,exp190909
A01,Sample X1,WL535,336,23994,336,A,01,Sample X1,29977,26804,33260,21304,0.22499163599866176,BPH2750,2,2,exp190909
A01,Sample X1,WL535,450,24479,450,A,01,Sample X1,29977,26804,33260,21304,0.2655570424891268,BPH2750,2,2,exp190909
A01,Sample X1,WL535,240,24041,240,A,01,Sample X1,29977,26804,33260,21304,0.22892271662763466,BPH2750,2,2,exp190909
A01,Sample X1,WL535,564,24569,564,A,01,Sample X1,29977,26804,33260,21304,0.273084643693543,BPH2750,2,2,exp190909
A01,Sample X1,WL535,726,25058,726,A,01,Sample X1,29977,26804,33260,21304,0.31398461023753765,BPH2750,2,2,exp190909
A01,Sample X1,WL535,306,24769,306,A,01,Sample X1,29977,26804,33260,21304,0.2898126463700234,BPH2750,2,2,exp190909
A01,Sample X1,WL535,468,24474,468,A,01,Sample X1,29977,26804,33260,21304,0.2651388424222148,BPH2750,2,2,exp190909
A01,Sample X1,WL535,792,24893,792,A,01,Sample X1,29977,26804,33260,21304,0.3001840080294413,BPH2750,2,2,exp190909
A01,Sample X1,WL535,954,25027,954,A,01,Sample X1,29977,26804,33260,21304,0.3113917698226832,BPH2750,2,2,exp190909
A01,Sample X1,WL535,534,24487,534,A,01,Sample X1,29977,26804,33260,21304,0.26622616259618603,BPH2750,2,2,exp190909
A01,Sample X1,WL535,318,24291,318,A,01,Sample X1,29977,26804,33260,21304,0.2498327199732352,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1182,25147,1182,A,01,Sample X1,29977,26804,33260,21304,0.32142857142857145,BPH2750,2,2,exp190909
A01,Sample X1,WL535,330,23973,330,A,01,Sample X1,29977,26804,33260,21304,0.2232351957176313,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1086,25219,1086,A,01,Sample X1,29977,26804,33260,21304,0.32745065239210436,BPH2750,2,2,exp190909
A01,Sample X1,WL535,180,23592,180,A,01,Sample X1,29977,26804,33260,21304,0.1913683506189361,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1044,25390,1044,A,01,Sample X1,29977,26804,33260,21304,0.34175309468049514,BPH2750,2,2,exp190909
A01,Sample X1,WL535,246,23951,246,A,01,Sample X1,29977,26804,33260,21304,0.22139511542321846,BPH2750,2,2,exp190909
A01,Sample X1,WL535,840,24744,840,A,01,Sample X1,29977,26804,33260,21304,0.28772164603546335,BPH2750,2,2,exp190909
A01,Sample X1,WL535,522,24571,522,A,01,Sample X1,29977,26804,33260,21304,0.2732519237203078,BPH2750,2,2,exp190909
A01,Sample X1,WL535,102,23596,102,A,01,Sample X1,29977,26804,33260,21304,0.1917029106724657,BPH2750,2,2,exp190909
A01,Sample X1,WL535,264,24329,264,A,01,Sample X1,29977,26804,33260,21304,0.2530110404817665,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1068,24961,1068,A,01,Sample X1,29977,26804,33260,21304,0.30587152893944464,BPH2750,2,2,exp190909
A01,Sample X1,WL535,378,24327,378,A,01,Sample X1,29977,26804,33260,21304,0.2528437604550017,BPH2750,2,2,exp190909
A01,Sample X1,WL535,60,23106,60,A,01,Sample X1,29977,26804,33260,21304,0.15071930411508866,BPH2750,2,2,exp190909
A01,Sample X1,WL535,864,25185,864,A,01,Sample X1,29977,26804,33260,21304,0.32460689193710274,BPH2750,2,2,exp190909
A01,Sample X1,WL535,978,24957,978,A,01,Sample X1,29977,26804,33260,21304,0.30553696888591503,BPH2750,2,2,exp190909
A01,Sample X1,WL535,930,25315,930,A,01,Sample X1,29977,26804,33260,21304,0.33548009367681497,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1248,25586,1248,A,01,Sample X1,29977,26804,33260,21304,0.358146537303446,BPH2750,2,2,exp190909
A01,Sample X1,WL535,882,25190,882,A,01,Sample X1,29977,26804,33260,21304,0.3250250920040147,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1206,25122,1206,A,01,Sample X1,29977,26804,33260,21304,0.3193375710940114,BPH2750,2,2,exp190909
A01,Sample X1,WL535,474,24294,474,A,01,Sample X1,29977,26804,33260,21304,0.2500836400133824,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1062,25350,1062,A,01,Sample X1,29977,26804,33260,21304,0.33840749414519905,BPH2750,2,2,exp190909
A01,Sample X1,WL535,636,24864,636,A,01,Sample X1,29977,26804,33260,21304,0.2977584476413516,BPH2750,2,2,exp190909
A01,Sample X1,WL535,546,24797,546,A,01,Sample X1,29977,26804,33260,21304,0.29215456674473067,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1128,25449,1128,A,01,Sample X1,29977,26804,33260,21304,0.34668785547005687,BPH2750,2,2,exp190909
A01,Sample X1,WL535,432,24759,432,A,01,Sample X1,29977,26804,33260,21304,0.2889762462361994,BPH2750,2,2,exp190909
A01,Sample X1,WL535,270,24391,270,A,01,Sample X1,29977,26804,33260,21304,0.2581967213114754,BPH2750,2,2,exp190909
A01,Sample X1,WL535,402,24590,402,A,01,Sample X1,29977,26804,33260,21304,0.27484108397457346,BPH2750,2,2,exp190909
A01,Sample X1,WL535,126,23685,126,A,01,Sample X1,29977,26804,33260,21304,0.1991468718634995,BPH2750,2,2,exp190909
A01,Sample X1,WL535,660,24999,660,A,01,Sample X1,29977,26804,33260,21304,0.3090498494479759,BPH2750,2,2,exp190909
A01,Sample X1,WL535,774,25049,774,A,01,Sample X1,29977,26804,33260,21304,0.31323185011709603,BPH2750,2,2,exp190909
A01,Sample X1,WL535,720,25160,720,A,01,Sample X1,29977,26804,33260,21304,0.3225158916025427,BPH2750,2,2,exp190909
A01,Sample X1,WL535,924,25006,924,A,01,Sample X1,29977,26804,33260,21304,0.30963532954165274,BPH2750,2,2,exp190909
A01,Sample X1,WL535,678,24921,678,A,01,Sample X1,29977,26804,33260,21304,0.30252592840414855,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1002,25633,1002,A,01,Sample X1,29977,26804,33260,21304,0.3620776179324189,BPH2750,2,2,exp190909
A01,Sample X1,WL535,948,24774,948,A,01,Sample X1,29977,26804,33260,21304,0.2902308464369354,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1152,25244,1152,A,01,Sample X1,29977,26804,33260,21304,0.3295416527266644,BPH2750,2,2,exp190909
A01,Sample X1,WL535,744,24734,744,A,01,Sample X1,29977,26804,33260,21304,0.28688524590163933,BPH2750,2,2,exp190909
A01,Sample X1,WL535,516,24703,516,A,01,Sample X1,29977,26804,33260,21304,0.28429240548678486,BPH2750,2,2,exp190909
A01,Sample X1,WL535,888,25027,888,A,01,Sample X1,29977,26804,33260,21304,0.3113917698226832,BPH2750,2,2,exp190909
A01,Sample X1,WL535,66,23231,66,A,01,Sample X1,29977,26804,33260,21304,0.16117430578788894,BPH2750,2,2,exp190909
A01,Sample X1,WL535,384,24764,384,A,01,Sample X1,29977,26804,33260,21304,0.2893944463031114,BPH2750,2,2,exp190909
