well_id,AUC,time_of_max_death,max_death,time_of_min_death,min_death,time_of_max_death_rate,max_death_rate,time_of_min_death_rate,min_death_rate,experiment,well,well_row,well_col,cell_number,plate,sample_id,replicate,strain_group,ST,mecA,mortality,intrahost_index,included,unrelated_to_index,mut_count,scv,vanco_difference,persister_type,intrahost_sampledelay,sample_type,genes
exp191121_4_B08,222.056940760426,780,1.5556477345332458,60,0.28342522046323515,300,0.003206993796056445,0,-6.879085959907993e-4,exp191121,B08,B,08,40000,4,BPH2795,3,VAN-079,291,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B09,123.81786030063802,1152,1.0487057516081397,150,0.08293941036658546,396,0.0023017673766526935,0,-0.0018867261211129097,exp191121,B09,B,09,40000,4,BPH2796,2,VAN-080,97,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B10,44.929442970829754,1152,0.4261069077858068,204,0.10182751815009877,696,4.6809292920938346e-4,0,-0.0017594255506396123,exp191121,B10,B,10,40000,4,BPH2808,1,VAN-086,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B11,42.008311229008015,1152,0.39041160477528875,186,0.09754291189792018,570,4.2456632411011757e-4,0,-0.0018704697230987472,exp191121,B11,B,11,40000,4,BPH2798,3,VAN-082,239,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B12,108.40141467729315,1152,1.037363071604996,150,0.15162929617882032,534,0.0014201151640267056,0,-0.0012987170053142538,exp191121,B12,B,12,40000,4,BPH2797,2,VAN-081,12,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C01,31.181432360748175,1152,0.25859959292978196,204,0.07497732066521776,570,3.3557945840314137e-4,0,-0.0016478841391110513,exp191121,C01,C,01,40000,4,BPH2791,2,VAN-075,6,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C02,84.88381962866036,1152,0.8049146892265859,156,0.036188174690750266,342,0.001591678467979944,0,-0.0018735770589132575,exp191121,C02,C,02,40000,4,BPH2794,1,VAN-078,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C03,46.456056587098686,1152,0.4535879880613548,210,0.09540143335793935,696,6.403641655809185e-4,0,-0.00198595486304573,exp191121,C03,C,03,40000,4,BPH2807,3,VAN-086,22,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C04,169.1059239611179,1152,2.3891003599724066,168,0.07512492744581929,822,0.0033389007447574837,0,-0.0016758845479310572,exp191121,C04,C,04,40000,4,BPH2809,3,VAN-087,-,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C05,17.383023872682294,0,0.21117185316883888,282,0.030128472351880126,630,2.3070210076395724e-4,0,-0.0017888979752269732,exp191121,C05,C,05,40000,4,BPH2798,1,VAN-082,239,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C06,82.09266136163974,1152,0.7523395345142254,150,0.0675711693664419,390,0.0014459921562279708,0,-0.0016792921121177584,exp191121,C06,C,06,40000,4,BPH2806,3,VAN-085,45,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C07,61.74146772768528,1152,0.4591328138025959,168,0.08177970630627186,354,0.001164487431148,0,-0.001973050892922046,exp191121,C07,C,07,40000,4,BPH2793,1,VAN-077,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C08,237.87462422639155,504,1.3514391417539289,0,0.6439627518630124,96,0.0029370485389321557,1044,-4.053886299550738e-4,exp191121,C08,C,08,40000,4,BPH2803,1,VAN-083,59,0,NA,0,TRUE,0,24,FALSE,-0.5,Relapse (after treatment),31,paired-invasive,putative epimerase/dehydratase / pta / nfo / comEA / cycA_2 / Hyaluronate lyase / ebh_3 / msbA
exp191121_4_C09,137.2387267904737,906,0.9991457942544444,114,0.11047061188512201,336,0.0029375161989019247,0,-0.0015562564388285766,exp191121,C09,C,09,40000,4,BPH2803,2,VAN-083,59,0,NA,0,TRUE,0,24,FALSE,-0.5,Relapse (after treatment),31,paired-invasive,putative epimerase/dehydratase / pta / nfo / comEA / cycA_2 / Hyaluronate lyase / ebh_3 / msbA
exp191121_4_C10,152.8300618921563,828,1.0780769682511562,78,0.10130630205830508,294,0.003124701864271562,0,-9.580104300227002e-4,exp191121,C10,C,10,40000,4,BPH2786,3,VAN-070,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_C11,41.41874447392439,1152,0.31041328759732445,186,0.13693693530312842,654,3.5641124229208657e-4,0,-0.001759423585432282,exp191121,C11,C,11,40000,4,BPH2804,1,VAN-083,1,0,NA,0,FALSE,1,NA,FALSE,-0.75,Relapse (after treatment),171,paired-invasive,NA
exp191121_4_C12,39.235366931925995,0,0.2845478134553308,282,0.15563433673888888,816,1.8741859045445818e-4,0,-0.0015074380571284823,exp191121,C12,C,12,40000,4,Non infected,2,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_D01,33.42422634837027,1152,0.2713103800648481,186,0.0974358282098046,822,2.542415258674988e-4,0,-0.0014522187494652034,exp191121,D01,D,01,40000,4,Non infected,3,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_D02,75.56304155615551,1152,0.8736038672343467,192,0.017123801054388366,534,0.0012855617511974022,0,-0.00170866669046333,exp191121,D02,D,02,40000,4,BPH2808,2,VAN-086,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_D03,30.679752431482125,1152,0.25201508524585026,204,0.0757351239993685,720,2.9316420283162736e-4,0,-0.0017621083847625951,exp191121,D03,D,03,40000,4,BPH2804,3,VAN-083,1,0,NA,0,FALSE,1,NA,FALSE,-0.75,Relapse (after treatment),171,paired-invasive,NA
exp191121_4_D04,138.4961980548401,1152,1.222256740071354,156,0.12328797868425638,414,0.0022891587253141043,0,-0.0021654155141787867,exp191121,D04,D,04,40000,4,BPH2792,3,VAN-076,45,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
