well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
G08,14140,5,G,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_G08,NE1140,NEBRASKA
G09,14437,5,G,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_G09,NE188,NEBRASKA
G10,13042,5,G,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_G10,NE1380,NEBRASKA
G11,14342,5,G,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_G11,JE2,CONTROL
G12,13779,5,G,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_G12,NE214,NEBRASKA
H01,14820,5,H,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_H01,NE743,NEBRASKA
H02,13721,5,H,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_H02,NE1462,NEBRASKA
H03,15251,5,H,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_H03,NE1020,NEBRASKA
H04,13756,5,H,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_H04,NE1166,NEBRASKA
H05,13709,5,H,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_H05,NE1380,NEBRASKA
H06,13936,5,H,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_H06,NE1183,NEBRASKA
H07,14532,5,H,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_H07,NE1,NEBRASKA
H08,14314,5,H,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_H08,NE1919,NEBRASKA
H09,14537,5,H,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_H09,NE1,NEBRASKA
H10,32846,5,H,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_H10,Complete lysis,CONTROL
H11,33726,5,H,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_H11,Complete lysis,CONTROL
H12,32119,5,H,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_H12,Complete lysis,CONTROL
A01,13341,10,A,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_A01,NE46,NEBRASKA
A02,13748,10,A,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_A02,NE1561,NEBRASKA
A03,13905,10,A,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_A03,JE2,CONTROL
A04,13566,10,A,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_A04,NE1553,NEBRASKA
A05,13547,10,A,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_A05,NE743,NEBRASKA
A06,13205,10,A,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_A06,NE172,NEBRASKA
A07,13164,10,A,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_A07,NE1166,NEBRASKA
A08,13792,10,A,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_A08,NE704,NEBRASKA
A09,13588,10,A,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_A09,NE362,NEBRASKA
A10,16330,10,A,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_A10,NE188,NEBRASKA
A11,13589,10,A,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_A11,NE1183,NEBRASKA
A12,13823,10,A,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_A12,NE1919,NEBRASKA
B01,13837,10,B,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_B01,NE573,NEBRASKA
B02,13878,10,B,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_B02,NE1020,NEBRASKA
B03,13366,10,B,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_B03,NE573,NEBRASKA
B04,12661,10,B,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_B04,NE1561,NEBRASKA
B05,12457,10,B,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_B05,NE581,NEBRASKA
B06,13106,10,B,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_B06,NE873,NEBRASKA
B07,12693,10,B,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_B07,NE172,NEBRASKA
B08,12646,10,B,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_B08,NE1532,NEBRASKA
B09,12538,10,B,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_B09,NE1553,NEBRASKA
B10,12511,10,B,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_B10,NE472,NEBRASKA
B11,13637,10,B,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_B11,NE1671,NEBRASKA
B12,13560,10,B,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_B12,NE1561,NEBRASKA
C01,13308,10,C,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_C01,NE1183,NEBRASKA
C02,12652,10,C,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_C02,NE1462,NEBRASKA
C03,12587,10,C,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_C03,NE46,NEBRASKA
C04,13188,10,C,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_C04,NE573,NEBRASKA
C05,12442,10,C,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_C05,NE1671,NEBRASKA
C06,12407,10,C,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_C06,NE440,NEBRASKA
C07,12419,10,C,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_C07,NE1380,NEBRASKA
C08,13492,10,C,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_C08,NE214,NEBRASKA
C09,12250,10,C,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_C09,NE214,NEBRASKA
